Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,//function/performance-scores?policy=gdpr,1003,16,670.0,759.9733990662595,236.9520664215088,7775.09880065918,98.15453639082752,2.665742911330542,0.042524313640367566,670,770,860,940,1100,1300,1500,1600,6900,7800,7800,7800
,Aggregated,1003,16,670.0,759.9733990662595,236.9520664215088,7775.09880065918,98.15453639082752,2.665742911330542,0.042524313640367566,670,770,860,940,1100,1300,1500,1600,6900,7800,7800,7800
