Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/function/performance-scores-gdpr,101,0,1000.0,1127.4271648709137,628.4410953521729,2487.9989624023438,222.14851485148515,1.2411760677448538,0.0,1000,1300,1300,1400,1600,1900,2500,2500,2500,2500,2500,2500
,Aggregated,101,0,1000.0,1127.4271648709137,628.4410953521729,2487.9989624023438,222.14851485148515,1.2411760677448538,0.0,1000,1300,1300,1400,1600,1900,2500,2500,2500,2500,2500,2500
