Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/function/performance-scores?policy=gdpr,4,4,110.0,144.72603797912598,109.93003845214844,244.9641227722168,46.0,0.4668530919860719,0.4668530919860719,110,110,240,240,240,240,240,240,240,240,240,240
,Aggregated,4,4,110.0,144.72603797912598,109.93003845214844,244.9641227722168,46.0,0.4668530919860719,0.4668530919860719,110,110,240,240,240,240,240,240,240,240,240,240
