Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/function/performance-scores-gdpr,400,0,790.0,820.5737030506134,635.2272033691406,1911.5769863128662,222.52,0.2639704625270293,0.0,790,830,860,880,970,1100,1300,1400,1900,1900,1900,1900
,Aggregated,400,0,790.0,820.5737030506134,635.2272033691406,1911.5769863128662,222.52,0.2639704625270293,0.0,790,830,860,880,970,1100,1300,1400,1900,1900,1900,1900
