Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/function/performance-scores-gdpr,1008,0,1700.0,1796.5970637779387,626.9240379333496,3749.9101161956787,222.375,2.0839105090816497,0.0,1700,2000,2200,2300,2700,3000,3300,3400,3700,3700,3700,3700
,Aggregated,1008,0,1700.0,1796.5970637779387,626.9240379333496,3749.9101161956787,222.375,2.0839105090816497,0.0,1700,2000,2200,2300,2700,3000,3300,3400,3700,3700,3700,3700
