Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/function/nodeinfo,262,0,19,34.713195480463156,10.091066360473633,537.8937721252441,100.80916030534351,0.3540893644802142,0.0,19,23,26,28,42,82,280,420,540,540,540,540
GET,/function/nodeinfo?policy=test,225,0,19,30.617682139078777,9.158849716186523,561.8109703063965,106.78666666666666,0.3040843778933137,0.0,19,22,25,27,41,67,92,520,560,560,560,560
,Aggregated,487,0,19,32.82101785867366,9.158849716186523,561.8109703063965,103.57084188911705,0.658173742373528,0.0,19,23,26,28,42,74,210,520,560,560,560,560
